"","POSITION","COMPANY","TICKER","WEIGHT"
"472",472,"American Airlines Group Inc.","AAL",0.00025006
"473",473,"Robert Half International Inc.","RHI",0.00024603
"474",474,"Catalent Inc","CTLT",0.00024602
"475",475,"Carnival Corporation","CCL",0.00024542
"476",476,"Whirlpool Corporation","WHR",0.00023238
"477",477,"NRG Energy Inc.","NRG",0.0002319
"478",478,"Sealed Air Corporation","SEE",0.00023068
"479",479,"Federal Realty Investment Trust","FRT",0.00023043
"480",480,"A. O. Smith Corporation","AOS",0.00022516
"481",481,"Pentair plc","PNR",0.00022329
"482",482,"Signature Bank","SBNY",0.00022128
"483",483,"Franklin Resources Inc.","BEN",0.00022087
"484",484,"Hasbro Inc.","HAS",0.00021759
"485",485,"Zions Bancorporation N.A.","ZION",0.00021655
"486",486,"Organon & Co.","OGN",0.00021582
"487",487,"News Corporation Class A","NWSA",0.00021268
"488",488,"DENTSPLY SIRONA Inc.","XRAY",0.00020815
"489",489,"Assurant Inc.","AIZ",0.00020239
"490",490,"DXC Technology Co.","DXC",0.00018724
"491",491,"Generac Holdings Inc.","GNRC",0.00017715
"492",492,"Norwegian Cruise Line Holdings Ltd.","NCLH",0.00017554
"493",493,"Alaska Air Group Inc.","ALK",0.00016629
"494",494,"Lumen Technologies Inc.","LUMN",0.00015056
"495",495,"Mohawk Industries Inc.","MHK",0.0001505
"496",496,"Newell Brands Inc","NWL",0.00014814
"497",497,"Lincoln National Corp","LNC",0.00014108
"498",498,"Ralph Lauren Corporation Class A","RL",0.00013578
"499",499,"Fox Corporation Class B","FOX",0.00012834
"500",500,"DaVita Inc.","DVA",0.00012284
"501",501,"DISH Network Corporation Class A","DISH",0.00010632
"502",502,"Vornado Realty Trust","VNO",0.00010325
